"","LON","LAT","set"
"168",120.8875,22.2875,"狥场"
"169",120.8958,22.2875,"狥场"
"170",120.7792,22.29583,"狥场"
"171",120.7875,22.29583,"狥场"
"172",120.7958,22.29583,"狥场"
"173",120.8042,22.29583,"狥场"
"174",120.8125,22.29583,"狥场"
"175",120.8208,22.29583,"狥场"
"176",120.8292,22.29583,"狥场"
"177",120.8375,22.29583,"狥场"
"178",120.8458,22.29583,"狥场"
"179",120.8542,22.29583,"狥场"
"180",120.8625,22.29583,"狥场"
"181",120.8708,22.29583,"狥场"
"182",120.8792,22.29583,"狥场"
"183",120.8875,22.29583,"狥场"
"184",120.8958,22.29583,"狥场"
"185",120.7792,22.30416,"狥场"
"186",120.7875,22.30416,"狥场"
"187",120.7958,22.30416,"狥场"
"188",120.8042,22.30416,"狥场"
"189",120.8125,22.30416,"狥场"
"190",120.8208,22.30416,"狥场"
"191",120.8292,22.30416,"狥场"
"192",120.8375,22.30416,"狥场"
"193",120.8458,22.30416,"狥场"
"194",120.8542,22.30416,"狥场"
"195",120.8625,22.30416,"狥场"
"196",120.8708,22.30416,"狥场"
"197",120.8792,22.30416,"狥场"
"198",120.8875,22.30416,"狥场"
"199",120.8958,22.30416,"狥场"
"200",120.7792,22.3125,"狥场"
"201",120.7875,22.3125,"狥场"
"202",120.7958,22.3125,"狥场"
"203",120.8042,22.3125,"狥场"
"204",120.8125,22.3125,"狥场"
"205",120.8208,22.3125,"狥场"
"206",120.8292,22.3125,"狥场"
"207",120.8375,22.3125,"狥场"
"208",120.8458,22.3125,"狥场"
"209",120.8542,22.3125,"狥场"
"210",120.8625,22.3125,"狥场"
"211",120.8708,22.3125,"狥场"
"212",120.8792,22.3125,"狥场"
"213",120.8875,22.3125,"狥场"
"214",120.8958,22.3125,"狥场"
"215",120.7958,22.32083,"狥场"
"216",120.8042,22.32083,"狥场"
"217",120.8125,22.32083,"狥场"
"218",120.8208,22.32083,"狥场"
"219",120.8292,22.32083,"狥场"
"220",120.8375,22.32083,"狥场"
"221",120.8458,22.32083,"狥场"
"222",120.8542,22.32083,"狥场"
"223",120.8625,22.32083,"狥场"
"224",120.8708,22.32083,"狥场"
"225",120.8792,22.32083,"狥场"
"226",120.8875,22.32083,"狥场"
"227",120.8958,22.32083,"狥场"
"228",120.7958,22.32916,"狥场"
"229",120.8042,22.32916,"狥场"
"230",120.8125,22.32916,"狥场"
"231",120.8208,22.32916,"狥场"
"232",120.8292,22.32916,"狥场"
"233",120.8375,22.32916,"狥场"
"234",120.8458,22.32916,"狥场"
"235",120.8542,22.32916,"狥场"
"236",120.8625,22.32916,"狥场"
"237",120.8708,22.32916,"狥场"
"238",120.8792,22.32916,"狥场"
"239",120.8875,22.32916,"狥场"
"240",120.8958,22.32916,"狥场"
"241",120.7875,22.3375,"狥场"
"242",120.7958,22.3375,"狥场"
"243",120.8042,22.3375,"狥场"
"244",120.8125,22.3375,"狥场"
"245",120.8208,22.3375,"狥场"
"246",120.8292,22.3375,"狥场"
"247",120.8375,22.3375,"狥场"
"248",120.8458,22.3375,"狥场"
"249",120.8542,22.3375,"狥场"
"250",120.8625,22.3375,"狥场"
"251",120.8708,22.3375,"狥场"
"252",120.8792,22.3375,"狥场"
"253",120.8875,22.3375,"狥场"
"254",120.8958,22.3375,"狥场"
"255",120.7625,22.34583,"狥场"
"256",120.7708,22.34583,"狥场"
"257",120.7792,22.34583,"狥场"
"258",120.7875,22.34583,"狥场"
"259",120.7958,22.34583,"狥场"
"260",120.8042,22.34583,"狥场"
"261",120.8125,22.34583,"狥场"
"262",120.8208,22.34583,"狥场"
"263",120.8292,22.34583,"狥场"
"264",120.8375,22.34583,"狥场"
"265",120.8458,22.34583,"狥场"
"266",120.8542,22.34583,"狥场"
"267",120.8625,22.34583,"狥场"
"268",120.8708,22.34583,"狥场"
"269",120.8792,22.34583,"狥场"
"270",120.8875,22.34583,"狥场"
"271",120.8958,22.34583,"狥场"
"272",120.9042,22.34583,"狥场"
"273",120.7625,22.35417,"狥场"
"274",120.7708,22.35417,"狥场"
"275",120.7792,22.35417,"狥场"
"276",120.7875,22.35417,"狥场"
"277",120.7958,22.35417,"狥场"
"278",120.8042,22.35417,"狥场"
"279",120.8125,22.35417,"狥场"
"280",120.8208,22.35417,"狥场"
"281",120.8292,22.35417,"狥场"
"282",120.8375,22.35417,"狥场"
"283",120.8458,22.35417,"狥场"
"284",120.8542,22.35417,"狥场"
"285",120.8625,22.35417,"狥场"
"286",120.8708,22.35417,"狥场"
"287",120.8792,22.35417,"狥场"
"288",120.8875,22.35417,"狥场"
"289",120.8958,22.35417,"狥场"
"290",120.9042,22.35417,"狥场"
"291",120.9125,22.35417,"狥场"
"292",120.7458,22.3625,"狥场"
"293",120.7542,22.3625,"狥场"
"294",120.7625,22.3625,"狥场"
"295",120.7708,22.3625,"狥场"
"296",120.7792,22.3625,"狥场"
"297",120.7875,22.3625,"狥场"
"298",120.7958,22.3625,"狥场"
"299",120.8042,22.3625,"狥场"
"300",120.8125,22.3625,"狥场"
"301",120.8208,22.3625,"狥场"
"302",120.8292,22.3625,"狥场"
"303",120.8375,22.3625,"狥场"
"304",120.8458,22.3625,"狥场"
"305",120.8542,22.3625,"狥场"
"306",120.8625,22.3625,"狥场"
"307",120.8708,22.3625,"狥场"
"308",120.8792,22.3625,"狥场"
"309",120.8875,22.3625,"狥场"
"310",120.8958,22.3625,"狥场"
"311",120.9042,22.3625,"狥场"
"312",120.9125,22.3625,"狥场"
"313",120.7458,22.37083,"狥场"
"314",120.7542,22.37083,"狥场"
"315",120.7625,22.37083,"狥场"
"316",120.7708,22.37083,"狥场"
"317",120.7792,22.37083,"狥场"
"318",120.7875,22.37083,"狥场"
"319",120.7958,22.37083,"狥场"
"320",120.8042,22.37083,"狥场"
"321",120.8125,22.37083,"狥场"
"322",120.8208,22.37083,"狥场"
"323",120.8292,22.37083,"狥场"
"324",120.8375,22.37083,"狥场"
"325",120.8458,22.37083,"狥场"
"326",120.8542,22.37083,"狥场"
"327",120.8625,22.37083,"狥场"
"328",120.8708,22.37083,"狥场"
"329",120.8792,22.37083,"狥场"
"330",120.8875,22.37083,"狥场"
"331",120.8958,22.37083,"狥场"
"332",120.9042,22.37083,"狥场"
"333",120.9125,22.37083,"狥场"
"334",120.7458,22.37917,"狥场"
"335",120.7542,22.37917,"狥场"
"336",120.7625,22.37917,"狥场"
"337",120.7708,22.37917,"狥场"
